iso_alpha_3,year,frac_trns_mtkm_dem_freight_rail_freight
IND,2017,0.08555929389036543
IND,2018,0.23145459576417785
IND,2019,0.230132124619233
IND,2020,0.2289537344945192
IND,2021,0.22653698011102272
IRL,2011,0.004309121766512652
IRL,2012,0.0037558431040005426
IRL,2013,0.004398785130619523
IRL,2014,0.004172453491788461
IRL,2015,0.003966264550649441
IRL,2016,0.0035888895135980825
IRL,2017,0.003501761456835914
IRL,2018,0.003178761251932458
IRL,2019,0.0024061776408474157
IRL,2020,0.0026857328288059754
IRL,2021,0.002327360472916743
IRQ,2011,0.43595237082662297
IRQ,2012,0.41828226284894304
IRQ,2013,0.40453962623434214
IRQ,2014,0.4011288302618557
IRQ,2015,0.3632576061901349
IRQ,2016,0.3709288588293921
IRQ,2017,0.37754661237652626
IRQ,2018,0.3834994462935817
IRQ,2019,0.3894458105921896
IRQ,2020,0.3958842572070118
IRQ,2021,0.40581919025659585
ISL,2011,0.8966388590549644
ISL,2012,0.8973740377167153
ISL,2013,0.89376933177385
ISL,2014,0.8901455550489268
ISL,2015,0.8829540085600126
ISL,2016,0.8679093729673212
ISL,2017,0.858218990397706
ISL,2018,0.8544496126729484
ISL,2019,0.854599574766836
ISL,2020,0.8827367330693944
ISL,2021,0.558660320781586
ISR,2011,0.005090190355946635
ISR,2012,0.004416295149200123
ISR,2013,0.004369722552977959
ISR,2014,0.0045649525948631645
ISR,2015,0.004305277649148154
ISR,2016,0.005042445017727701
ISR,2017,0.004786267824846754
ISR,2018,0.004142041116594948
ISR,2019,0.004029475310766789
ISR,2020,0.003930075400918557
ISR,2021,0.003240492529659748
ITA,2011,0.05084660091616391
ITA,2012,0.05801534624552501
ITA,2013,0.05411596858139832
ITA,2014,0.05956088601600371
ITA,2015,0.06191774407931216
ITA,2016,0.06730319351401091
ITA,2017,0.06303908507947976
ITA,2018,0.06073907099025636
ITA,2019,0.05510203880569035
ITA,2020,0.056346823605074425
ITA,2021,0.05946612352541808
JAM,2011,0.1654676258871113
JAM,2012,0.16546762587402414
JAM,2013,0.1654676258589824
JAM,2014,0.16546762592186626
JAM,2015,0.16546762591950015
JAM,2016,0.16546762586108038
JAM,2017,0.16546762591656927
JAM,2018,0.16546762593326003
JAM,2019,0.1654676259388022
JAM,2020,0.16546762591459113
JAM,2021,0.16546762586706332
JOR,2011,0.16546762587032926
JOR,2012,0.16546762596132297
JOR,2013,0.16546762595018527
JOR,2014,0.165467625847755
JOR,2015,0.1654676259328348
JOR,2016,0.1654676258751172
JOR,2017,0.16546762594601647
JOR,2018,0.16546762590249894
JOR,2019,0.16546762588819253
JOR,2020,0.16546762590790504
JOR,2021,0.1654676258795516
JPN,2011,0.02928788180571991
JPN,2012,0.032053801407667795
JPN,2013,0.03216033309625053
JPN,2014,0.032593297519815746
JPN,2015,0.03404630322553085
JPN,2016,0.0330409138652198
JPN,2017,0.03353831291278459
JPN,2018,0.030322765478794103
JPN,2019,0.03136954018119114
JPN,2020,0.029707910014513787
JPN,2021,0.17158767025059496
KAZ,2011,0.27874180194675463
KAZ,2012,0.27624497827179023
KAZ,2013,0.26329685774982053
KAZ,2014,0.24924891539751373
KAZ,2015,0.2592635268738108
KAZ,2016,0.2591097238763245
KAZ,2017,0.2671815643981502
KAZ,2018,0.26879893451801234
KAZ,2019,0.26735391058740865
KAZ,2020,0.2498084306682546
KAZ,2021,0.21169839664744075
KEN,2011,0.1654676259113094
KEN,2012,0.16546762589331568
KEN,2013,0.16546762591407807
KEN,2014,0.16546762587577585
KEN,2015,0.16546762592408465
KEN,2016,0.16546762588911998
KEN,2017,0.1654676259104607
KEN,2018,0.16546762594157768
KEN,2019,0.16546762586164743
KEN,2020,0.1654676258992806
KEN,2021,0.16546762593073608
KHM,2011,0.26333392640071934
KHM,2012,0.2634622848554848
KHM,2013,0.26358685169744694
KHM,2014,0.26370806212972325
KHM,2015,0.26382649519025486
KHM,2016,0.263968429238888
KHM,2017,0.264107196306131
KHM,2018,0.26424248607460843
KHM,2019,0.26437458044202283
KHM,2020,0.26450355999781583
KHM,2021,0.2648698613580102
KWT,2011,0.27657657928289836
KWT,2012,0.24695338021052274
KWT,2013,0.23317683568212297
KWT,2014,0.22490105215463074
KWT,2015,0.21925413227765347
KWT,2016,0.22328844111808746
KWT,2017,0.22808306259872652
KWT,2018,0.23387390828235663
KWT,2019,0.24127017041067422
KWT,2020,0.25146800442013373
KWT,2021,0.2189056189583582
LBN,2011,0.23307704785078923
LBN,2012,0.22137968011824224
LBN,2013,0.2127187469115782
LBN,2014,0.205549493881838
LBN,2015,0.19921632347512694
LBN,2016,0.19820407558685796
LBN,2017,0.19678718362700517
LBN,2018,0.19508685661421776
LBN,2019,0.19326695557541562
LBN,2020,0.1914420984769226
LBN,2021,0.18139955805734637
LBR,2011,0.16546762591451164
LBR,2012,0.16546762593836428
LBR,2013,0.16546762594139403
LBR,2014,0.1654676259336657
LBR,2015,0.16546762589591466
LBR,2016,0.16546762591317932
LBR,2017,0.1654676259587202
LBR,2018,0.16546762589099212
LBR,2019,0.1654676258379774
LBR,2020,0.16546762586169808
LBR,2021,0.16546762595799303
LBY,2011,0.18016808937425421
LBY,2012,0.17756332030132913
LBY,2013,0.17528356933243172
LBY,2014,0.1732896146503988
LBY,2015,0.17154214849720387
LBY,2016,0.17131427176488181
LBY,2017,0.1711128435341482
LBY,2018,0.17092935418960548
LBY,2019,0.17075130429631522
LBY,2020,0.1705700255149785
LBY,2021,0.16895383355235105
LKA,2011,0.1828101055135698
LKA,2012,0.17921714115822263
LKA,2013,0.1762721645913513
LKA,2014,0.17377708094970984
LKA,2015,0.1716247567552525
LKA,2016,0.17062961315442102
LKA,2017,0.1697076349169571
LKA,2018,0.16884511638512859
LKA,2019,0.1680148422843079
LKA,2020,0.1672355134354441
LKA,2021,0.1660864929559433
LSO,2011,0.16546762595611975
LSO,2012,0.16546762593401698
LSO,2013,0.1654676258915712
LSO,2014,0.1654676259277055
LSO,2015,0.1654676258929633
LSO,2016,0.16546762587614072
LSO,2017,0.1654676259168505
LSO,2018,0.16546762593127098
LSO,2019,0.1654676258697903
LSO,2020,0.16546762592533865
LSO,2021,0.1654676259024524
LTU,2011,0.17778982315875058
LTU,2012,0.1624160243142702
LTU,2013,0.14517413498235368
LTU,2014,0.14582106012022825
LTU,2015,0.14968563989384648
LTU,2016,0.13333301103937384
LTU,2017,0.12249792777120369
LTU,2018,0.12106472427751032
LTU,2019,0.10127861037810013
LTU,2020,0.09679529183795742
LTU,2021,0.08748747690585276
LUX,2011,0.012107269831169514
LUX,2012,0.013642154254093892
LUX,2013,0.011810588993140159
LUX,2014,0.010397287252620612
LUX,2015,0.011455240720360995
LUX,2016,0.012201768476248367
LUX,2017,0.012963793806528099
LUX,2018,0.012551956945952458
LUX,2019,0.010035411175609152
LUX,2020,0.006668707782756652
LUX,2021,0.006155032205309338
LVA,2011,0.2677952173350186
LVA,2012,0.2688703865711126
LVA,2013,0.2535923527597903
LVA,2014,0.24643892520633762
LVA,2015,0.23771997050190147
LVA,2016,0.2236797882841845
LVA,2017,0.21269166013249668
LVA,2018,0.232405459621845
LVA,2019,0.21375844967838026
LVA,2020,0.15810456816983906
LVA,2021,0.14190323627064136
MAR,2011,0.1268167210975592
MAR,2012,0.4024784330852793
MAR,2013,0.446948806908319
MAR,2014,0.10523795695585862
MAR,2015,0.07726021605862737
MAR,2016,0.38419870574313586
MAR,2017,0.05810338826949835
MAR,2018,0.37965309556719656
MAR,2019,0.3776417465249752
MAR,2020,0.3758036384968755
MAR,2021,0.3395737061321155
MDG,2011,0.16546762588820685
MDG,2012,0.16546762590551944
MDG,2013,0.16546762589806602
MDG,2014,0.1654676259279251
MDG,2015,0.16546762588734631
MDG,2016,0.1654676258622517
MDG,2017,0.16546762591497371
MDG,2018,0.16546762595670955
